,id,updated,biographyUrl,canton,cantonName,council,faction,factionName,firstName,function,lastName,number,party,partyName,pictureUrl,homepage,fb_id,fb_name,fb_link
Ada Marra,3923,2015-11-24T15:14:37Z,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=3923,VD,Waadt,N,S,Sozialdemokratische Fraktion,Ada,Mitglied,Marra,2726,SP,Sozialdemokratische Partei der Schweiz,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2726.jpg,www.adamarra.blogspot.com,,,
Adrian Amstutz,1135,2017-12-18T11:02:35Z,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=1135,BE,Bern,N,V,Fraktion der Schweizerischen Volkspartei,Adrian,Mitglied,Amstutz,2584,SVP,Schweizerische Volkspartei,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2584.jpg,www.adrian-amstutz.ch,936320439757809,Adrian Amstutz,AmstutzAdrian/
Adèle Thorens Goumaz,3907,2016-05-02T12:08:40Z,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=3907,VD,Waadt,N,G,Grüne Fraktion,Adèle,Mitglied,Thorens Goumaz,2710,GPS,Grüne Partei der Schweiz,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2710.jpg,www.adelethorens.ch,,,
Albert Rösti,4100,2018-01-24T17:34:17Z,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4100,BE,Bern,N,V,Fraktion der Schweizerischen Volkspartei,Albert,Mitglied,Rösti,3010,SVP,Schweizerische Volkspartei,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3010.jpg,www.albertroesti.ch,122996304433025,Albert Rösti,albert.roesti/
Albert Vitali,4054,2016-06-13T11:01:16Z,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4054,LU,Luzern,N,RL,FDP-Liberale Fraktion,Albert,Mitglied,Vitali,2761,FDP-Liberale,FDP.Die Liberalen,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2761.jpg,www.albert-vitali.ch,,,Albert.Vitali
Alex Kuprecht,1162,2015-11-13T14:44:30Z,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=1162,SZ,Schwyz,S,V,Fraktion der Schweizerischen Volkspartei,Alex,Mitglied,Kuprecht,2641,SVP,Schweizerische Volkspartei,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2641.jpg,www.alex-kuprecht.ch,,,
Alexander Tschäppät,224,2015-05-17T21:18:19Z,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=224,BE,Bern,N,S,Sozialdemokratische Fraktion,Alexander,Mitglied,Tschäppät,2328,SP,Sozialdemokratische Partei der Schweiz,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2328.jpg,,,,
Alfred Heer,3887,2015-11-17T15:28:49Z,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=3887,ZH,Zürich,N,V,Fraktion der Schweizerischen Volkspartei,Alfred,Mitglied,Heer,2690,SVP,Schweizerische Volkspartei,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2690.jpg,,,,
Alice Glauser-Zufferey,3883,2016-09-01T13:33:02Z,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=3883,VD,Waadt,N,V,Fraktion der Schweizerischen Volkspartei,Alice,Mitglied,Glauser-Zufferey,2686,SVP,Schweizerische Volkspartei,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2686.jpg,www.aliceglauser.ch,,,
Alois Gmür,4096,2016-08-22T15:46:49Z,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4096,SZ,Schwyz,N,C,CVP-Fraktion,Alois,Mitglied,Gmür,3001,CVP,Christlichdemokratische Volkspartei der Schweiz,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3001.jpg,www.aloisgmuer.ch,223317361037232,Alois Gmür Nationalrat,AloisGmuer/
